indicator,facility_id,state,year,quarter,month,facility_level,value,unit,cohort_direction
Reporting Completeness,AKS012,AKWA IBOM,,,9,,50.0,Percent (Per expected reports),
Reporting Completeness,AKS012,AKWA IBOM,,,10,,33.33,Percent (Per expected reports),
Reporting Completeness,AKS012,AKWA IBOM,,,11,,33.33,Percent (Per expected reports),
Reporting Completeness,AKS012,AKWA IBOM,,,12,,50.0,Percent (Per expected reports),
Reporting Completeness,AKS013,AKWA IBOM,,,1,,33.33,Percent (Per expected reports),
Reporting Completeness,AKS013,AKWA IBOM,,,2,,33.33,Percent (Per expected reports),
Reporting Completeness,AKS013,AKWA IBOM,,,3,,33.33,Percent (Per expected reports),
Reporting Completeness,AKS013,AKWA IBOM,,,4,,33.33,Percent (Per expected reports),
Reporting Completeness,AKS013,AKWA IBOM,,,5,,33.33,Percent (Per expected reports),
Reporting Completeness,AKS013,AKWA IBOM,,,6,,33.33,Percent (Per expected reports),
Reporting Completeness,AKS013,AKWA IBOM,,,7,,33.33,Percent (Per expected reports),
Reporting Completeness,AKS013,AKWA IBOM,,,8,,50.0,Percent (Per expected reports),
Reporting Completeness,AKS013,AKWA IBOM,,,9,,33.33,Percent (Per expected reports),
Reporting Completeness,AKS013,AKWA IBOM,,,10,,100.0,Percent (Per expected reports),
Reporting Completeness,AKS013,AKWA IBOM,,,11,,33.33,Percent (Per expected reports),
Reporting Completeness,AKS013,AKWA IBOM,,,12,,33.33,Percent (Per expected reports),
Reporting Completeness,AKS014,AKWA IBOM,,,1,,50.0,Percent (Per expected reports),
Reporting Completeness,AKS014,AKWA IBOM,,,2,,33.33,Percent (Per expected reports),
Reporting Completeness,AKS014,AKWA IBOM,,,3,,33.33,Percent (Per expected reports),
Reporting Completeness,AKS014,AKWA IBOM,,,4,,33.33,Percent (Per expected reports),
Reporting Completeness,AKS014,AKWA IBOM,,,5,,50.0,Percent (Per expected reports),
Reporting Completeness,AKS014,AKWA IBOM,,,6,,33.33,Percent (Per expected reports),
Reporting Completeness,AKS014,AKWA IBOM,,,7,,33.33,Percent (Per expected reports),
Reporting Completeness,AKS014,AKWA IBOM,,,8,,33.33,Percent (Per expected reports),
Reporting Completeness,AKS014,AKWA IBOM,,,9,,50.0,Percent (Per expected reports),
Reporting Completeness,AKS014,AKWA IBOM,,,10,,33.33,Percent (Per expected reports),
Reporting Completeness,AKS014,AKWA IBOM,,,11,,33.33,Percent (Per expected reports),
Reporting Completeness,AKS014,AKWA IBOM,,,12,,33.33,Percent (Per expected reports),
Reporting Completeness,AKS015,AKWA IBOM,,,1,,50.0,Percent (Per expected reports),
Reporting Completeness,AKS015,AKWA IBOM,,,2,,33.33,Percent (Per expected reports),
Reporting Completeness,AKS015,AKWA IBOM,,,3,,33.33,Percent (Per expected reports),
Reporting Completeness,AKS015,AKWA IBOM,,,4,,33.33,Percent (Per expected reports),
Reporting Completeness,AKS015,AKWA IBOM,,,5,,33.33,Percent (Per expected reports),
Reporting Completeness,AKS015,AKWA IBOM,,,6,,33.33,Percent (Per expected reports),
Reporting Completeness,AKS015,AKWA IBOM,,,7,,33.33,Percent (Per expected reports),
Reporting Completeness,AKS015,AKWA IBOM,,,8,,33.33,Percent (Per expected reports),
Reporting Completeness,AKS015,AKWA IBOM,,,9,,33.33,Percent (Per expected reports),
Reporting Completeness,AKS015,AKWA IBOM,,,10,,33.33,Percent (Per expected reports),
Reporting Completeness,AKS015,AKWA IBOM,,,11,,50.0,Percent (Per expected reports),
Reporting Completeness,AKS015,AKWA IBOM,,,12,,50.0,Percent (Per expected reports),
Reporting Completeness,LAG099,AKWA IBOM,,,3,,,Percent (Per expected reports),
Reporting Completeness,LAG099,AKWA IBOM,,,6,,,Percent (Per expected reports),
Reporting Completeness,LAG099,AKWA IBOM,,,8,,,Percent (Per expected reports),
Reporting Completeness,NAS999,AKWA IBOM,,,4,,,Percent (Per expected reports),
Reporting Completeness,NAS999,AKWA IBOM,,,5,,,Percent (Per expected reports),
Reporting Completeness,NAS999,AKWA IBOM,,,8,,,Percent (Per expected reports),
Reporting Completeness,NAS999,AKWA IBOM,,,10,,,Percent (Per expected reports),
Reporting Completeness,NAS999,AKWA IBOM,,,11,,,Percent (Per expected reports),
Reporting Completeness,NAS999,AKWA IBOM,,,12,,,Percent (Per expected reports),
Reporting Completeness,TMP001,AKWA IBOM,,,1,,,Percent (Per expected reports),
Reporting Completeness,TMP001,AKWA IBOM,,,3,,,Percent (Per expected reports),
Reporting Completeness,TMP001,AKWA IBOM,,,7,,,Percent (Per expected reports),
Reporting Completeness,TMP001,AKWA IBOM,,,9,,,Percent (Per expected reports),
Reporting Completeness,TMP001,AKWA IBOM,,,12,,,Percent (Per expected reports),
Reporting Completeness,XXX999,AKWA IBOM,,,1,,,Percent (Per expected reports),
Reporting Completeness,XXX999,AKWA IBOM,,,3,,,Percent (Per expected reports),
Reporting Completeness,XXX999,AKWA IBOM,,,4,,,Percent (Per expected reports),
Reporting Completeness,XXX999,AKWA IBOM,,,5,,,Percent (Per expected reports),
Reporting Completeness,XXX999,AKWA IBOM,,,9,,,Percent (Per expected reports),
Reporting Completeness,XXX999,AKWA IBOM,,,12,,,Percent (Per expected reports),
Reporting Completeness,BEN001,BENUE,,,1,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN001,BENUE,,,2,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN001,BENUE,,,3,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN001,BENUE,,,4,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN001,BENUE,,,5,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN001,BENUE,,,6,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN001,BENUE,,,7,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN001,BENUE,,,8,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN001,BENUE,,,9,,25.0,Percent (Per expected reports),
Reporting Completeness,BEN001,BENUE,,,10,,25.0,Percent (Per expected reports),
Reporting Completeness,BEN001,BENUE,,,11,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN001,BENUE,,,12,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN002,BENUE,,,1,,50.0,Percent (Per expected reports),
Reporting Completeness,BEN002,BENUE,,,2,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN002,BENUE,,,3,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN002,BENUE,,,4,,25.0,Percent (Per expected reports),
Reporting Completeness,BEN002,BENUE,,,5,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN002,BENUE,,,6,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN002,BENUE,,,7,,50.0,Percent (Per expected reports),
Reporting Completeness,BEN002,BENUE,,,8,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN002,BENUE,,,9,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN002,BENUE,,,10,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN002,BENUE,,,11,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN002,BENUE,,,12,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN003,BENUE,,,1,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN003,BENUE,,,2,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN003,BENUE,,,3,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN003,BENUE,,,4,,50.0,Percent (Per expected reports),
Reporting Completeness,BEN003,BENUE,,,5,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN003,BENUE,,,6,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN003,BENUE,,,7,,50.0,Percent (Per expected reports),
Reporting Completeness,BEN003,BENUE,,,8,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN003,BENUE,,,9,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN003,BENUE,,,10,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN003,BENUE,,,11,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN003,BENUE,,,12,,50.0,Percent (Per expected reports),
Reporting Completeness,BEN004,BENUE,,,1,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN004,BENUE,,,2,,50.0,Percent (Per expected reports),
Reporting Completeness,BEN004,BENUE,,,3,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN004,BENUE,,,4,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN004,BENUE,,,5,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN004,BENUE,,,6,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN004,BENUE,,,7,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN004,BENUE,,,8,,50.0,Percent (Per expected reports),
Reporting Completeness,BEN004,BENUE,,,10,,50.0,Percent (Per expected reports),
Reporting Completeness,BEN004,BENUE,,,11,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN004,BENUE,,,12,,50.0,Percent (Per expected reports),
Reporting Completeness,BEN005,BENUE,,,1,,50.0,Percent (Per expected reports),
Reporting Completeness,BEN005,BENUE,,,2,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN005,BENUE,,,3,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN005,BENUE,,,4,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN005,BENUE,,,5,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN005,BENUE,,,6,,50.0,Percent (Per expected reports),
Reporting Completeness,BEN005,BENUE,,,7,,100.0,Percent (Per expected reports),
Reporting Completeness,BEN005,BENUE,,,8,,50.0,Percent (Per expected reports),
Reporting Completeness,BEN005,BENUE,,,9,,50.0,Percent (Per expected reports),
Reporting Completeness,BEN005,BENUE,,,10,,50.0,Percent (Per expected reports),
Reporting Completeness,BEN005,BENUE,,,11,,25.0,Percent (Per expected reports),
Reporting Completeness,BEN005,BENUE,,,12,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN006,BENUE,,,1,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN006,BENUE,,,2,,50.0,Percent (Per expected reports),
Reporting Completeness,BEN006,BENUE,,,3,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN006,BENUE,,,4,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN006,BENUE,,,5,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN006,BENUE,,,6,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN006,BENUE,,,7,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN006,BENUE,,,8,,25.0,Percent (Per expected reports),
Reporting Completeness,BEN006,BENUE,,,9,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN006,BENUE,,,10,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN006,BENUE,,,11,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN006,BENUE,,,12,,50.0,Percent (Per expected reports),
Reporting Completeness,BEN007,BENUE,,,1,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN007,BENUE,,,2,,50.0,Percent (Per expected reports),
Reporting Completeness,BEN007,BENUE,,,3,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN007,BENUE,,,4,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN007,BENUE,,,5,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN007,BENUE,,,6,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN007,BENUE,,,7,,50.0,Percent (Per expected reports),
Reporting Completeness,BEN007,BENUE,,,8,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN007,BENUE,,,9,,50.0,Percent (Per expected reports),
Reporting Completeness,BEN007,BENUE,,,10,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN007,BENUE,,,11,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN007,BENUE,,,12,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN008,BENUE,,,1,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN008,BENUE,,,2,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN008,BENUE,,,3,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN008,BENUE,,,4,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN008,BENUE,,,5,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN008,BENUE,,,6,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN008,BENUE,,,7,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN008,BENUE,,,8,,50.0,Percent (Per expected reports),
Reporting Completeness,BEN008,BENUE,,,9,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN008,BENUE,,,10,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN008,BENUE,,,11,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN008,BENUE,,,12,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN009,BENUE,,,1,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN009,BENUE,,,2,,50.0,Percent (Per expected reports),
Reporting Completeness,BEN009,BENUE,,,3,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN009,BENUE,,,4,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN009,BENUE,,,5,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN009,BENUE,,,6,,100.0,Percent (Per expected reports),
Reporting Completeness,BEN009,BENUE,,,7,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN009,BENUE,,,8,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN009,BENUE,,,9,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN009,BENUE,,,10,,50.0,Percent (Per expected reports),
Reporting Completeness,BEN009,BENUE,,,11,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN009,BENUE,,,12,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN010,BENUE,,,1,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN010,BENUE,,,2,,50.0,Percent (Per expected reports),
Reporting Completeness,BEN010,BENUE,,,3,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN010,BENUE,,,4,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN010,BENUE,,,5,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN010,BENUE,,,6,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN010,BENUE,,,7,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN010,BENUE,,,8,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN010,BENUE,,,9,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN010,BENUE,,,10,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN010,BENUE,,,11,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN010,BENUE,,,12,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN011,BENUE,,,1,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN011,BENUE,,,2,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN011,BENUE,,,3,,50.0,Percent (Per expected reports),
Reporting Completeness,BEN011,BENUE,,,4,,50.0,Percent (Per expected reports),
Reporting Completeness,BEN011,BENUE,,,5,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN011,BENUE,,,6,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN011,BENUE,,,7,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN011,BENUE,,,8,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN011,BENUE,,,9,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN011,BENUE,,,10,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN011,BENUE,,,11,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN011,BENUE,,,12,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN012,BENUE,,,1,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN012,BENUE,,,2,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN012,BENUE,,,3,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN012,BENUE,,,4,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN012,BENUE,,,5,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN012,BENUE,,,6,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN012,BENUE,,,7,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN012,BENUE,,,8,,50.0,Percent (Per expected reports),
Reporting Completeness,BEN012,BENUE,,,9,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN012,BENUE,,,10,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN012,BENUE,,,11,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN012,BENUE,,,12,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN013,BENUE,,,1,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN013,BENUE,,,2,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN013,BENUE,,,3,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN013,BENUE,,,4,,50.0,Percent (Per expected reports),
Reporting Completeness,BEN013,BENUE,,,5,,50.0,Percent (Per expected reports),
Reporting Completeness,BEN013,BENUE,,,6,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN013,BENUE,,,7,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN013,BENUE,,,8,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN013,BENUE,,,9,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN013,BENUE,,,10,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN013,BENUE,,,11,,50.0,Percent (Per expected reports),
Reporting Completeness,BEN013,BENUE,,,12,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN014,BENUE,,,1,,25.0,Percent (Per expected reports),
Reporting Completeness,BEN014,BENUE,,,2,,50.0,Percent (Per expected reports),
Reporting Completeness,BEN014,BENUE,,,3,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN014,BENUE,,,4,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN014,BENUE,,,5,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN014,BENUE,,,6,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN014,BENUE,,,7,,50.0,Percent (Per expected reports),
Reporting Completeness,BEN014,BENUE,,,8,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN014,BENUE,,,9,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN014,BENUE,,,10,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN014,BENUE,,,11,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN014,BENUE,,,12,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN015,BENUE,,,1,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN015,BENUE,,,2,,50.0,Percent (Per expected reports),
Reporting Completeness,BEN015,BENUE,,,3,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN015,BENUE,,,4,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN015,BENUE,,,5,,50.0,Percent (Per expected reports),
Reporting Completeness,BEN015,BENUE,,,6,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN015,BENUE,,,7,,50.0,Percent (Per expected reports),
Reporting Completeness,BEN015,BENUE,,,8,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN015,BENUE,,,9,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN015,BENUE,,,10,,50.0,Percent (Per expected reports),
Reporting Completeness,BEN015,BENUE,,,11,,33.33,Percent (Per expected reports),
Reporting Completeness,BEN015,BENUE,,,12,,33.33,Percent (Per expected reports),
Reporting Completeness,LAG099,BENUE,,,4,,,Percent (Per expected reports),
Reporting Completeness,LAG099,BENUE,,,8,,,Percent (Per expected reports),
Reporting Completeness,LAG099,BENUE,,,10,,,Percent (Per expected reports),
Reporting Completeness,NAS999,BENUE,,,2,,,Percent (Per expected reports),
Reporting Completeness,NAS999,BENUE,,,6,,,Percent (Per expected reports),
Reporting Completeness,NAS999,BENUE,,,9,,,Percent (Per expected reports),
Reporting Completeness,NAS999,BENUE,,,10,,,Percent (Per expected reports),
Reporting Completeness,NAS999,BENUE,,,11,,,Percent (Per expected reports),
Reporting Completeness,NAS999,BENUE,,,12,,,Percent (Per expected reports),
Reporting Completeness,TMP001,BENUE,,,2,,,Percent (Per expected reports),
Reporting Completeness,TMP001,BENUE,,,4,,,Percent (Per expected reports),
Reporting Completeness,TMP001,BENUE,,,9,,,Percent (Per expected reports),
Reporting Completeness,TMP001,BENUE,,,12,,,Percent (Per expected reports),
Reporting Completeness,XXX999,BENUE,,,6,,,Percent (Per expected reports),
Reporting Completeness,XXX999,BENUE,,,7,,,Percent (Per expected reports),
Reporting Completeness,XXX999,BENUE,,,8,,,Percent (Per expected reports),
Reporting Completeness,CRS001,CROSS RIVER,,,1,,33.33,Percent (Per expected reports),
Reporting Completeness,CRS001,CROSS RIVER,,,2,,33.33,Percent (Per expected reports),
Reporting Completeness,CRS001,CROSS RIVER,,,3,,33.33,Percent (Per expected reports),
Reporting Completeness,CRS001,CROSS RIVER,,,4,,50.0,Percent (Per expected reports),
Reporting Completeness,CRS001,CROSS RIVER,,,5,,33.33,Percent (Per expected reports),
Reporting Completeness,CRS001,CROSS RIVER,,,6,,33.33,Percent (Per expected reports),
Reporting Completeness,CRS001,CROSS RIVER,,,7,,33.33,Percent (Per expected reports),
Reporting Completeness,CRS001,CROSS RIVER,,,8,,33.33,Percent (Per expected reports),
Reporting Completeness,CRS001,CROSS RIVER,,,9,,33.33,Percent (Per expected reports),
Reporting Completeness,CRS001,CROSS RIVER,,,10,,33.33,Percent (Per expected reports),
Reporting Completeness,CRS001,CROSS RIVER,,,11,,33.33,Percent (Per expected reports),
Reporting Completeness,CRS001,CROSS RIVER,,,12,,33.33,Percent (Per expected reports),
Reporting Completeness,CRS002,CROSS RIVER,,,1,,33.33,Percent (Per expected reports),
Reporting Completeness,CRS002,CROSS RIVER,,,2,,33.33,Percent (Per expected reports),
Reporting Completeness,CRS002,CROSS RIVER,,,3,,33.33,Percent (Per expected reports),
Reporting Completeness,CRS002,CROSS RIVER,,,4,,50.0,Percent (Per expected reports),
Reporting Completeness,CRS002,CROSS RIVER,,,5,,33.33,Percent (Per expected reports),
Reporting Completeness,CRS002,CROSS RIVER,,,6,,33.33,Percent (Per expected reports),
Reporting Completeness,CRS002,CROSS RIVER,,,7,,50.0,Percent (Per expected reports),
Reporting Completeness,CRS002,CROSS RIVER,,,8,,33.33,Percent (Per expected reports),
Reporting Completeness,CRS002,CROSS RIVER,,,9,,20.0,Percent (Per expected reports),
Reporting Completeness,CRS002,CROSS RIVER,,,10,,50.0,Percent (Per expected reports),
Reporting Completeness,CRS002,CROSS RIVER,,,11,,33.33,Percent (Per expected reports),
Reporting Completeness,CRS002,CROSS RIVER,,,12,,50.0,Percent (Per expected reports),
Reporting Completeness,CRS003,CROSS RIVER,,,1,,33.33,Percent (Per expected reports),
Reporting Completeness,CRS003,CROSS RIVER,,,2,,33.33,Percent (Per expected reports),
Reporting Completeness,CRS003,CROSS RIVER,,,3,,33.33,Percent (Per expected reports),
Reporting Completeness,CRS003,CROSS RIVER,,,4,,33.33,Percent (Per expected reports),
Reporting Completeness,CRS003,CROSS RIVER,,,5,,33.33,Percent (Per expected reports),
Reporting Completeness,CRS003,CROSS RIVER,,,6,,33.33,Percent (Per expected reports),
Reporting Completeness,CRS003,CROSS RIVER,,,7,,33.33,Percent (Per expected reports),
Reporting Completeness,CRS003,CROSS RIVER,,,8,,50.0,Percent (Per expected reports),
Reporting Completeness,CRS003,CROSS RIVER,,,9,,33.33,Percent (Per expected reports),
Reporting Completeness,CRS003,CROSS RIVER,,,10,,33.33,Percent (Per expected reports),
Reporting Completeness,CRS003,CROSS RIVER,,,11,,33.33,Percent (Per expected reports),
Reporting Completeness,CRS003,CROSS RIVER,,,12,,25.0,Percent (Per expected reports),
Reporting Completeness,CRS004,CROSS RIVER,,,1,,33.33,Percent (Per expected reports),
Reporting Completeness,CRS004,CROSS RIVER,,,2,,33.33,Percent (Per expected reports),
Reporting Completeness,CRS004,CROSS RIVER,,,3,,33.33,Percent (Per expected reports),
Reporting Completeness,CRS004,CROSS RIVER,,,4,,33.33,Percent (Per expected reports),
Reporting Completeness,CRS004,CROSS RIVER,,,5,,50.0,Percent (Per expected reports),
Reporting Completeness,CRS004,CROSS RIVER,,,6,,33.33,Percent (Per expected reports),
Reporting Completeness,CRS004,CROSS RIVER,,,7,,33.33,Percent (Per expected reports),
Reporting Completeness,CRS004,CROSS RIVER,,,8,,33.33,Percent (Per expected reports),
Reporting Completeness,CRS004,CROSS RIVER,,,9,,100.0,Percent (Per expected reports),
Reporting Completeness,CRS004,CROSS RIVER,,,10,,33.33,Percent (Per expected reports),
Reporting Completeness,CRS004,CROSS RIVER,,,11,,33.33,Percent (Per expected reports),
Reporting Completeness,CRS004,CROSS RIVER,,,12,,33.33,Percent (Per expected reports),
Reporting Completeness,CRS005,CROSS RIVER,,,1,,33.33,Percent (Per expected reports),
Reporting Completeness,CRS005,CROSS RIVER,,,2,,33.33,Percent (Per expected reports),
Reporting Completeness,CRS005,CROSS RIVER,,,3,,33.33,Percent (Per expected reports),
Reporting Completeness,CRS005,CROSS RIVER,,,4,,33.33,Percent (Per expected reports),
Reporting Completeness,CRS005,CROSS RIVER,,,5,,33.33,Percent (Per expected reports),
Reporting Completeness,CRS005,CROSS RIVER,,,6,,33.33,Percent (Per expected reports),
Reporting Completeness,CRS005,CROSS RIVER,,,7,,50.0,Percent (Per expected reports),
Reporting Completeness,CRS005,CROSS RIVER,,,8,,33.33,Percent (Per expected reports),
Reporting Completeness,CRS005,CROSS RIVER,,,9,,33.33,Percent (Per expected reports),
Reporting Completeness,CRS005,CROSS RIVER,,,10,,33.33,Percent (Per expected reports),
Reporting Completeness,CRS005,CROSS RIVER,,,11,,33.33,Percent (Per expected reports),
Reporting Completeness,CRS005,CROSS RIVER,,,12,,33.33,Percent (Per expected reports),
Reporting Completeness,CRS006,CROSS RIVER,,,1,,33.33,Percent (Per expected reports),
Reporting Completeness,CRS006,CROSS RIVER,,,2,,33.33,Percent (Per expected reports),
Reporting Completeness,CRS006,CROSS RIVER,,,3,,50.0,Percent (Per expected reports),
Reporting Completeness,CRS006,CROSS RIVER,,,4,,33.33,Percent (Per expected reports),
Reporting Completeness,CRS006,CROSS RIVER,,,5,,33.33,Percent (Per expected reports),
Reporting Completeness,CRS006,CROSS RIVER,,,6,,33.33,Percent (Per expected reports),
Reporting Completeness,CRS006,CROSS RIVER,,,7,,33.33,Percent (Per expected reports),
Reporting Completeness,CRS006,CROSS RIVER,,,8,,33.33,Percent (Per expected reports),
Reporting Completeness,CRS006,CROSS RIVER,,,9,,33.33,Percent (Per expected reports),
Reporting Completeness,CRS006,CROSS RIVER,,,10,,33.33,Percent (Per expected reports),
Reporting Completeness,CRS006,CROSS RIVER,,,11,,33.33,Percent (Per expected reports),
Reporting Completeness,CRS006,CROSS RIVER,,,12,,33.33,Percent (Per expected reports),
Reporting Completeness,CRS007,CROSS RIVER,,,1,,50.0,Percent (Per expected reports),
Reporting Completeness,CRS007,CROSS RIVER,,,2,,33.33,Percent (Per expected reports),
Reporting Completeness,CRS007,CROSS RIVER,,,3,,33.33,Percent (Per expected reports),
Reporting Completeness,CRS007,CROSS RIVER,,,4,,33.33,Percent (Per expected reports),
Reporting Completeness,CRS007,CROSS RIVER,,,5,,33.33,Percent (Per expected reports),
Reporting Completeness,CRS007,CROSS RIVER,,,6,,33.33,Percent (Per expected reports),
Reporting Completeness,CRS007,CROSS RIVER,,,7,,33.33,Percent (Per expected reports),
Reporting Completeness,CRS007,CROSS RIVER,,,8,,50.0,Percent (Per expected reports),
Reporting Completeness,CRS007,CROSS RIVER,,,9,,50.0,Percent (Per expected reports),
Reporting Completeness,CRS007,CROSS RIVER,,,10,,50.0,Percent (Per expected reports),
